,Fuel(C),Bonds,Simulation_5_Full_Ea_R,Simulation_10_Full_Ea_R,1byC_SH,Simulation_5_Full_Ea_R_pred,Simulation_5_Full_Ea_R_relErr,Simulation_10_Full_Ea_R_pred,Simulation_10_Full_Ea_R_relErr
0,10,16,11.884970761708828,11.804733715517452,0.0625,11.918472950230742,0.2818870083370415,11.816746115535476,0.10175917820351985
1,11,18,11.842139520548695,11.778057643443518,0.05555555555555555,11.706230772273319,1.1476705542908452,11.721828857871072,0.4774028729919326
2,12,20,11.763169360200177,11.718027162708657,0.05,11.53643702990738,1.9274765443735613,11.645895051739549,0.6155653163073398
3,13,22,11.735212170510188,11.707986400255512,0.045454545454545456,11.397514877062523,2.8776411413870786,11.583767392177394,1.0609767028377048
4,14,24,11.667831941696573,11.659115094984838,0.041666666666666664,11.281746416358475,3.308974000202807,11.531994342542264,1.0903121841318353
5,15,26,11.665798266596363,11.667238708354082,0.038461538461538464,11.183788488070434,4.131819936455679,11.488186377466386,1.5346590171287886
6,16,28,11.642262883019429,11.65358957439203,0.03571428571428571,11.099824549537827,4.659217361194994,11.450636693115632,1.7415482155161237
8,4,4,19.19144077772976,14.864900903773622,0.25,17.649011755081148,8.037067359937282,14.379512072474384,3.265335130327148
9,5,6,13.641365341421466,12.94057976520604,0.16666666666666666,15.102105619592079,10.70816770616892,13.240504980501537,2.317710803822873
10,6,8,12.851640633193982,12.229083242640463,0.125,13.828652551847544,7.602234971697517,12.671001434515112,3.613665743428461
11,7,10,12.4920927682187,11.95584970105574,0.1,13.064580711200824,4.582802526399719,12.329299306923259,3.1235722696860426
12,8,12,12.103533502688837,11.99429931203421,0.08333333333333333,12.55519948410301,3.7316869599595384,12.101497888528689,0.893746051400634
13,9,14,12.033463028194069,11.926191878700052,0.07142857142857142,12.191355750461714,1.3121137439630381,11.938782589675425,0.10557193028110673
