Fuel,Ea/R,intercept
C10_5_export.csv,11.884970761708828,-18.929701791695674
C11_5_export.csv,11.842139520548697,-18.96253795241654
C12_5_export.csv,11.763169360200177,-18.993546510016607
C13_5_export.csv,11.735212170510188,-19.033228934271772
C14_5_export.csv,11.667831941696571,-19.056293236248194
C15_5_export.csv,11.665798266596363,-19.108537198773817
C16_5_export.csv,11.642262883019427,-19.15580290624309
C3_5_export.csv,19.27808413219793,-21.99186259672041
C4_5_export.csv,19.191440777729753,-22.401379760527522
C5_5_export.csv,13.641365341421466,-19.10392022622539
C6_5_export.csv,12.851640633193982,-18.73415051798775
C7_5_export.csv,12.492092768218699,-18.66221533034144
C8_5_export.csv,12.103533502688835,-18.913699569012685
C9_5_export.csv,12.033463028194067,-18.939490471823447
